Gmt time,Open,High,Low,Close,Volume
15.10.2021 00:00:00.000,1.15903,1.15946,1.15881,1.15937,3275.03
15.10.2021 01:00:00.000,1.15937,1.16015,1.15935,1.15997,3466.3701
15.10.2021 02:00:00.000,1.15997,1.16091,1.15971,1.16090,3651.28
15.10.2021 03:00:00.000,1.16089,1.16116,1.16075,1.16079,2100.73
15.10.2021 04:00:00.000,1.16079,1.16099,1.16069,1.16079,2389.98
15.10.2021 05:00:00.000,1.16078,1.16086,1.16041,1.16052,4527.96
15.10.2021 06:00:00.000,1.16052,1.16145,1.16041,1.16143,8177.4199
15.10.2021 07:00:00.000,1.16142,1.16150,1.16071,1.16119,6402.0601
15.10.2021 08:00:00.000,1.16118,1.16185,1.15993,1.16031,8351.4102
15.10.2021 09:00:00.000,1.16030,1.16074,1.15987,1.16032,7202.2402
15.10.2021 10:00:00.000,1.16032,1.16122,1.16010,1.16099,7654.8301
15.10.2021 11:00:00.000,1.16098,1.16106,1.15995,1.16029,2934.8301
15.10.2021 12:00:00.000,1.16031,1.16042,1.15887,1.15920,6143.6699
15.10.2021 13:00:00.000,1.15922,1.16047,1.15921,1.15935,5924.96
15.10.2021 14:00:00.000,1.15935,1.16101,1.15890,1.16056,5965.5298
15.10.2021 15:00:00.000,1.16056,1.16089,1.15932,1.15932,4304.1099
15.10.2021 16:00:00.000,1.15933,1.15966,1.15910,1.15950,2235.51
15.10.2021 17:00:00.000,1.15949,1.15997,1.15930,1.15962,1335.6899
15.10.2021 18:00:00.000,1.15962,1.16057,1.15941,1.16056,1820.59
15.10.2021 19:00:00.000,1.16053,1.16057,1.15998,1.16030,1416.33
15.10.2021 20:00:00.000,1.16032,1.16055,1.15972,1.15983,1634.96
15.10.2021 21:00:00.000,1.15983,1.15983,1.15983,1.15983,0
15.10.2021 22:00:00.000,1.15983,1.15983,1.15983,1.15983,0
15.10.2021 23:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 00:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 01:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 02:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 03:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 04:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 05:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 06:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 07:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 08:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 09:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 10:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 11:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 12:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 13:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 14:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 15:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 16:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 17:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 18:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 19:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 20:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 21:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 22:00:00.000,1.15983,1.15983,1.15983,1.15983,0
16.10.2021 23:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 00:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 01:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 02:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 03:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 04:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 05:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 06:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 07:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 08:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 09:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 10:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 11:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 12:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 13:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 14:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 15:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 16:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 17:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 18:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 19:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 20:00:00.000,1.15983,1.15983,1.15983,1.15983,0
17.10.2021 21:00:00.000,1.15903,1.16014,1.15903,1.15994,415.91
17.10.2021 22:00:00.000,1.15994,1.16052,1.15982,1.15996,2094.97
17.10.2021 23:00:00.000,1.15996,1.16012,1.15963,1.15963,1127.7
18.10.2021 00:00:00.000,1.15965,1.15977,1.15828,1.15840,2456.5701
18.10.2021 01:00:00.000,1.15840,1.15924,1.15831,1.15903,3884.3201
18.10.2021 02:00:00.000,1.15905,1.15941,1.15897,1.15907,1668.04
18.10.2021 03:00:00.000,1.15908,1.15917,1.15812,1.15818,2128.9399
18.10.2021 04:00:00.000,1.15818,1.15828,1.15777,1.15786,1501.59
18.10.2021 05:00:00.000,1.15787,1.15817,1.15777,1.15781,1745.05
18.10.2021 06:00:00.000,1.15782,1.15803,1.15717,1.15759,3399.96
18.10.2021 07:00:00.000,1.15759,1.15933,1.15748,1.15927,3754.05
18.10.2021 08:00:00.000,1.15928,1.15961,1.15802,1.15806,4063.95
18.10.2021 09:00:00.000,1.15807,1.15854,1.15774,1.15825,3281.04
18.10.2021 10:00:00.000,1.15823,1.15939,1.15765,1.15906,3450.3201
18.10.2021 11:00:00.000,1.15908,1.15978,1.15870,1.15971,4590.04
18.10.2021 12:00:00.000,1.15972,1.16098,1.15935,1.16015,8055.4702
18.10.2021 13:00:00.000,1.16014,1.16130,1.15961,1.16010,7427.48
18.10.2021 14:00:00.000,1.16011,1.16098,1.15976,1.16016,5832.3799
18.10.2021 15:00:00.000,1.16016,1.16087,1.15923,1.16086,3476.6699
18.10.2021 16:00:00.000,1.16088,1.16218,1.16085,1.16217,1878.67
18.10.2021 17:00:00.000,1.16218,1.16223,1.16118,1.16129,1601.4301
18.10.2021 18:00:00.000,1.16129,1.16162,1.16102,1.16104,1359.39
18.10.2021 19:00:00.000,1.16104,1.16133,1.16083,1.16109,1296.25
18.10.2021 20:00:00.000,1.16107,1.16116,1.16088,1.16091,766.02
18.10.2021 21:00:00.000,1.16092,1.16123,1.16078,1.16099,1422.9
18.10.2021 22:00:00.000,1.16099,1.16129,1.16099,1.16100,562.13
18.10.2021 23:00:00.000,1.16099,1.16136,1.16084,1.16131,374.53
19.10.2021 00:00:00.000,1.16133,1.16251,1.16130,1.16250,1993.64
19.10.2021 01:00:00.000,1.16251,1.16367,1.16241,1.16339,2972.4299
19.10.2021 02:00:00.000,1.16339,1.16426,1.16302,1.16425,1684.09
19.10.2021 03:00:00.000,1.16424,1.16466,1.16391,1.16466,1077.0699
19.10.2021 04:00:00.000,1.16466,1.16549,1.16447,1.16455,1508.91
19.10.2021 05:00:00.000,1.16455,1.16555,1.16450,1.16498,1125.21
19.10.2021 06:00:00.000,1.16499,1.16575,1.16461,1.16512,3696.9099
19.10.2021 07:00:00.000,1.16514,1.16561,1.16447,1.16535,4514.2798
19.10.2021 08:00:00.000,1.16535,1.16609,1.16494,1.16601,3424.52
19.10.2021 09:00:00.000,1.16600,1.16693,1.16534,1.16659,3890.8
19.10.2021 10:00:00.000,1.16658,1.16676,1.16567,1.16594,4316.25
19.10.2021 11:00:00.000,1.16593,1.16621,1.16541,1.16566,3374
19.10.2021 12:00:00.000,1.16567,1.16571,1.16454,1.16457,4511.5
19.10.2021 13:00:00.000,1.16458,1.16583,1.16413,1.16554,4170.3301
19.10.2021 14:00:00.000,1.16555,1.16577,1.16315,1.16437,5751.6499
19.10.2021 15:00:00.000,1.16436,1.16452,1.16301,1.16318,3665.6299
19.10.2021 16:00:00.000,1.16318,1.16363,1.16295,1.16360,1612.37
19.10.2021 17:00:00.000,1.16359,1.16423,1.16337,1.16401,1597.92
19.10.2021 18:00:00.000,1.16402,1.16446,1.16384,1.16398,1255.79
19.10.2021 19:00:00.000,1.16397,1.16399,1.16331,1.16360,1370.26
19.10.2021 20:00:00.000,1.16359,1.16362,1.16308,1.16312,1114.46
